"attempt","dimension","replication","iteration","particles","next_particles","window_cv","stop_eligible","last_five_cv_explanatory_only","stop_condition","monotone","same_n_window","doubled"
"attempt08-validation-delayed-d80",80,1415,7,2000,NA,0.309880641294858,TRUE,0.311577203694116,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1416,5,1000,1000,0.859993420160112,FALSE,0.658536811064225,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1416,6,1000,2000,0.573699471160217,TRUE,0.278167839846839,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1416,7,2000,NA,0.25880091984009,TRUE,0.181564809417045,TRUE,FALSE,FALSE,FALSE
"attempt09-validation-delayed-d5",5,1501,5,1000,1000,0.414090842927101,FALSE,0.0604112677203172,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1501,6,1000,NA,0.0560421610295753,TRUE,0.0601015271515599,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1502,5,1000,1000,0.158437753516831,FALSE,0.0568030831792122,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1502,6,1000,NA,0.0529013390008124,TRUE,0.0588013120134575,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1503,5,1000,1000,0.32787930598417,FALSE,0.0803493340780979,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1503,6,1000,NA,0.0719815399196718,TRUE,0.0305552046281466,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1504,5,1000,1000,0.306114878654339,FALSE,0.0700105268198907,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1504,6,1000,NA,0.0672192729723078,TRUE,0.0436734881754979,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1505,5,1000,1000,0.446617326609751,FALSE,0.0460012310916931,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1505,6,1000,NA,0.0414185473750048,TRUE,0.0415783361496787,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1506,5,1000,1000,0.265673526806136,FALSE,0.0410205495635535,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1506,6,1000,NA,0.0373997454560384,TRUE,0.0377359158998983,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1507,5,1000,1000,0.282570709928288,FALSE,0.0677762416503801,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1507,6,1000,NA,0.0610795570692218,TRUE,0.0344721688527382,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1508,5,1000,1000,0.426937209650948,FALSE,0.0324947869720022,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1508,6,1000,NA,0.041875841032657,TRUE,0.0445508311761789,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1501,5,1000,1000,0.549880385084322,FALSE,0.232678467011529,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1501,6,1000,NA,0.210094475307418,TRUE,0.142297972244582,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1502,5,1000,1000,0.563751989189246,FALSE,0.259901666291978,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1502,6,1000,NA,0.231503948745975,TRUE,0.0929245749353558,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1503,5,1000,1000,0.499954491210252,FALSE,0.092957265426511,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1503,6,1000,NA,0.0880295818809605,TRUE,0.0965331890565508,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1504,5,1000,1000,0.495845755887493,FALSE,0.0713401819120373,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1504,6,1000,NA,0.0638812953388318,TRUE,0.0714362047906172,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1505,5,1000,1000,0.4955356525712,FALSE,0.0694446157792905,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1505,6,1000,NA,0.0679824474248655,TRUE,0.0442052683454874,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1506,5,1000,1000,0.525621984100451,FALSE,0.177459087053496,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1506,6,1000,NA,0.159902349392033,TRUE,0.0764868072115812,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1507,5,1000,1000,0.513225627356857,FALSE,0.142523586546519,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1507,6,1000,NA,0.146723094295628,TRUE,0.164121224871663,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1508,5,1000,1000,0.50325306709872,FALSE,0.107301373121896,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1508,6,1000,NA,0.0959353272572013,TRUE,0.0802432651986205,TRUE,FALSE,TRUE,FALSE
