"attempt","dimension","replication","iteration","particles","next_particles","window_cv","stop_eligible","stop_condition","monotone","same_n_window","doubled"
"attempt09-validation-delayed-d5",5,1504,6,1000,NA,0.0672192729723078,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1505,5,1000,1000,0.446617326609751,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1505,6,1000,NA,0.0414185473750048,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1506,5,1000,1000,0.265673526806136,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1506,6,1000,NA,0.0373997454560384,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1507,5,1000,1000,0.282570709928288,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1507,6,1000,NA,0.0610795570692218,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1508,5,1000,1000,0.426937209650948,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1508,6,1000,NA,0.041875841032657,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1501,5,1000,1000,0.549880385084322,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1501,6,1000,NA,0.210094475307418,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1502,5,1000,1000,0.563751989189246,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1502,6,1000,NA,0.231503948745975,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1503,5,1000,1000,0.499954491210252,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1503,6,1000,NA,0.0880295818809605,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1504,5,1000,1000,0.495845755887493,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1504,6,1000,NA,0.0638812953388318,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1505,5,1000,1000,0.4955356525712,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1505,6,1000,NA,0.0679824474248655,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1506,5,1000,1000,0.525621984100451,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1506,6,1000,NA,0.159902349392033,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1507,5,1000,1000,0.513225627356857,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1507,6,1000,NA,0.146723094295628,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1508,5,1000,1000,0.50325306709872,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt10-validation-delayed-d20",20,1508,6,1000,NA,0.0959353272572013,TRUE,TRUE,FALSE,TRUE,FALSE
